,accession,y_hmm,y_dp
817,PZU32509.1 amylosucrase [Microbacterium sp.],1,1
818,HDW29192.1 TPA: amylosucrase [Chloroflexi bacterium],1,1
819,HBG59543.1 TPA: amylosucrase [Anaerolineaceae bacterium],1,1
820,PKO05162.1 amylosucrase [Chloroflexi bacterium HGW-Chloroflexi-3],1,1
821,"NMB60547.1 amylosucrase, partial [Chloroflexi bacterium]",1,1
822,MBI5950874.1 amylosucrase [Chloroflexi bacterium],1,1
823,WP_066790991.1 alpha-glucosidase C-terminal domain-containing protein [Chloroflexus islandicus],1,1
824,TVS12026.1 amylosucrase [Planctomycetaceae bacterium],1,1
825,NOK59895.1 DUF3459 domain-containing protein [Chloroflexi bacterium AL-N1],1,1
826,MBK6644861.1 alpha-glucosidase C-terminal domain-containing protein [Anaerolineales bacterium],1,1
827,PZP17719.1 amylosucrase [Brachybacterium faecium],1,1
828,WP_121371889.1 alpha-amylase family protein [Frondihabitans australicus],1,1
829,WP_141164607.1 amylosucrase [Schumannella sp. 10F1D-1],1,1
830,PKO10502.1 amylosucrase [Chloroflexi bacterium HGW-Chloroflexi-2],1,1
831,MBK8032297.1 amylosucrase [Chloroflexi bacterium],1,1
832,HHX08777.1 TPA: DUF3459 domain-containing protein [Chloroflexi bacterium],1,1
833,NUM47128.1 alpha-glucosidase C-terminal domain-containing protein [Anaerolineales bacterium],1,1
834,MBE9475457.1 alpha-glucosidase C-terminal domain-containing protein [Chloroflexi bacterium],1,1
835,WP_126602865.1 alpha-glucosidase C-terminal domain-containing protein [Dictyobacter aurantiacus],1,1
836,OIO97076.1 amylosucrase [Anaerolineae bacterium CG2_30_64_16],1,1
837,WP_102206087.1 amylosucrase [Fischerella thermalis],1,1
838,MBI3150655.1 alpha-glucosidase C-terminal domain-containing protein [Chloroflexi bacterium],1,1
839,WP_144790582.1 amylosucrase [Kocuria palustris],1,1
840,"HET60255.1 TPA: amylosucrase, partial [Chloroflexi bacterium]",1,1
841,MBK9942840.1 alpha-glucosidase C-terminal domain-containing protein [Kouleothrix sp.],1,1
842,MBL8090401.1 alpha-glucosidase C-terminal domain-containing protein [Anaerolineales bacterium],1,1
843,ACL24215.1 alpha amylase catalytic region [Chloroflexus aggregans DSM 9485],1,1
844,WP_041470950.1 alpha-glucosidase C-terminal domain-containing protein [Chloroflexus aggregans],1,1
845,WP_012258398.1 alpha-glucosidase C-terminal domain-containing protein [Chloroflexus aurantiacus],1,1
846,"MBL8057499.1 alpha-glucosidase C-terminal domain-containing protein, partial [Anaerolineales bacterium]",1,1
847,RJP52407.1 amylosucrase [Anaerolineaceae bacterium],1,1
848,PWH11946.1 amylosucrase [Anaerolineae bacterium],1,1
849,QCZ35432.1 amylosucrase [uncultured bacterium],1,1
850,MBK9749951.1 amylosucrase [Chloroflexi bacterium],1,1
851,WP_062282409.1 amylosucrase [Flexilinea flocculi],1,1
852,MBL8156556.1 amylosucrase [Anaerolineae bacterium],1,1
853,NMB94576.1 amylosucrase [Flexilinea flocculi],1,1
854,RKQ35155.1 amylosucrase [Kocuria tytonis],1,1
855,"HGX15097.1 TPA: amylosucrase, partial [Anaerolineae bacterium]",1,1
856,TVR24571.1 amylosucrase [Anaerolineaceae bacterium],1,1
857,MBC8170586.1 amylosucrase [Anaerolineae bacterium],1,1
858,KAB8140069.1 amylosucrase [Chloroflexia bacterium SDU3-3],1,1
859,PJF36449.1 amylosucrase [Candidatus Thermofonsia Clade 1 bacterium],1,1
860,PJF44394.1 amylosucrase [Candidatus Thermofonsia Clade 2 bacterium],1,1
861,WP_199712233.1 alpha-amylase family protein [Kocuria tytonis],1,1
862,HEC23069.1 TPA: DUF3459 domain-containing protein [Chloroflexi bacterium],1,1
863,NJN96150.1 amylosucrase [Anaerolineales bacterium],1,1
864,WP_084427007.1 alpha-glucosidase C-terminal domain-containing protein [Roseimaritima ulvae],1,1
865,RMG85312.1 amylosucrase [Chloroflexi bacterium],1,1
866,PJF42040.1 amylosucrase [Candidatus Thermofonsia Clade 1 bacterium],1,1
867,HGU26450.1 TPA: amylosucrase [Chloroflexi bacterium],1,1
868,MBL8099901.1 alpha-glucosidase C-terminal domain-containing protein [Anaerolineales bacterium],1,1
869,HAE86089.1 TPA: amylosucrase [Anaerolineaceae bacterium],1,1
870,MBE0687547.1 amylosucrase [Anaerolineaceae bacterium],1,1
871,WP_198025448.1 alpha-amylase family protein [Brachybacterium phenoliresistens],1,1
872,WP_055921102.1 DUF3459 domain-containing protein [Leifsonia sp. Leaf336],1,1
873,WP_090675726.1 alpha-amylase family protein [Aureimonas jatrophae],1,1
874,WP_028458623.1 alpha-glucosidase C-terminal domain-containing protein [Chloroflexus sp. Y-396-1],1,1
875,MBI9052159.1 hypothetical protein JEZ00_22275 [Anaerolineaceae bacterium],1,1
876,RMF50035.1 amylosucrase [Chloroflexi bacterium],1,1
877,MAT41754.1 amylosucrase [Anaerolineaceae bacterium],1,1
878,WP_121241571.1 alpha-amylase family protein [Kocuria sp. OV113],1,1
879,CAA9552889.1 GH13_4 | GH13_16 | GH13 | GH13_36 | GH13_ 17 | GH13_31 | GH13_29 | GH13_40 | GH13_23 | GH13 _30 | GH13_18 | GH13_35 | GH13_21 | GH13_20 | GH13_2 [uncultured Thermomicrobiales bacterium],1,1
880,OGO32882.1 amylosucrase [Chloroflexi bacterium RBG_16_54_18],1,1
881,TME64293.1 DUF3459 domain-containing protein [Chloroflexi bacterium],1,1
882,WP_059281703.1 alpha-amylase family protein [Kocuria rhizophila],1,1
883,WP_039101559.1 MULTISPECIES: alpha-amylase family protein [Terrabacteria group],1,1
884,MBD3618734.1 alpha-glucosidase C-terminal domain-containing protein [Chromatiales bacterium],1,1
885,NMC15642.1 DUF3459 domain-containing protein [Chloroflexi bacterium],1,1
886,NUQ02496.1 amylosucrase [Anaerolineae bacterium],1,1
887,MAT64093.1 amylosucrase [Gammaproteobacteria bacterium],1,1
888,TMD33777.1 amylosucrase [Chloroflexi bacterium],1,1
889,WP_126630219.1 alpha-glucosidase C-terminal domain-containing protein [Dictyobacter alpinus],1,1
890,WP_141143391.1 amylosucrase [Schumannella sp. 10F1B-5-1],1,1
891,WP_125182523.1 amylosucrase [Thiohalobacter thiocyanaticus],1,1
892,TMC25361.1 amylosucrase [Chloroflexi bacterium],1,1
893,"RMF43046.1 amylosucrase, partial [Planctomycetes bacterium]",1,1
894,WP_096366443.1 MULTISPECIES: amylosucrase [Thiohalobacter],1,1
895,WP_200817599.1 alpha-glucosidase C-terminal domain-containing protein [Calothrix rhizosoleniae],1,1
896,HHS58299.1 TPA: amylosucrase [Ktedonobacter sp.],1,1
897,NRB08022.1 alpha-glucosidase C-terminal domain-containing protein [Richelia sp.],1,1
898,NMB68646.1 DUF3459 domain-containing protein [Chloroflexi bacterium],1,1
899,CDN17338.1 Sucrose phosphorylase [Richelia intracellularis],1,1
900,HCD51696.1 TPA: amylosucrase [Balneolaceae bacterium],1,1
901,WP_146577239.1 alpha-glucosidase C-terminal domain-containing protein [Rhodopirellula pilleata],1,1
902,WP_146509789.1 alpha-glucosidase C-terminal domain-containing protein [Thalassoglobus neptunius],1,1
903,WP_009103042.1 alpha-glucosidase C-terminal domain-containing protein [Rhodopirellula sp. SWK7],1,1
904,WP_008684082.1 alpha-glucosidase C-terminal domain-containing protein [Rhodopirellula sallentina],1,1
905,WP_184305062.1 alpha-glucosidase C-terminal domain-containing protein [Rhodopirellula rubra],1,1
906,MBI1354595.1 amylosucrase [Acidobacteria bacterium],1,1
907,NTV62445.1 DUF3459 domain-containing protein [Oscillochloris sp.],1,1
908,WP_124109050.1 alpha-amylase family protein [Kocuria rhizophila],1,1
909,HEG73121.1 TPA: amylosucrase [Chloroflexi bacterium],1,1
910,KAB2904241.1 amylosucrase [Anaerolineae bacterium],1,1
911,KXK54542.1 amylosucrase [Chloroflexi bacterium OLB13],1,1
912,MBL1134650.1 amylosucrase [Chloroflexi bacterium],1,1
913,MBI5928386.1 alpha-glucosidase C-terminal domain-containing protein [Chloroflexi bacterium],1,1
914,HDP89074.1 TPA: amylosucrase [Thioalkalivibrio sp.],1,1
915,WP_121057549.1 alpha-amylase family protein [Microbacterium telephonicum],1,1
916,WP_106243233.1 alpha-glucosidase C-terminal domain-containing protein [Pleurocapsa sp. CCALA 161],1,1
917,MBD3676449.1 amylosucrase [Planctomycetaceae bacterium],1,1
918,MBK9130944.1 amylosucrase [Gammaproteobacteria bacterium],1,1
919,MBK9121785.1 amylosucrase [Chloroflexi bacterium],1,1
920,WP_153559059.1 alpha-glucosidase C-terminal domain-containing protein [Roseimaritima sp. JC651],1,1
921,QDS96727.1 Amylosucrase [Planctomycetes bacterium FF011L],1,1
922,WP_146535010.1 alpha-glucosidase C-terminal domain-containing protein [Rubripirellula reticaptiva],1,1
923,KMK73204.1 amylosucrase [Kocuria rhizophila],1,1
924,NJN15198.1 amylosucrase [Oscillochloris sp.],1,1
925,ALP53920.1 amylosucrase [Candidatus Tenderia electrophaga],1,1
926,WP_143869751.1 DUF3459 domain-containing protein [Catenovulum sediminis],1,1
927,WP_102613351.1 alpha-amylase family protein [Kocuria rhizophila],1,1
928,ALP54785.1 amylosucrase [Candidatus Tenderia electrophaga],1,1
929,WP_191550799.1 alpha-amylase family protein [Kocuria rhizophila],1,1
930,SBV96704.1 Amylosucrase [uncultured Alphaproteobacteria bacterium],1,1
931,WP_099091810.1 alpha-glucosidase C-terminal domain-containing protein [Fuerstia marisgermanicae],1,1
932,NTU79637.1 amylosucrase [Chloroflexales bacterium],1,1
933,MBE2196666.1 alpha-glucosidase C-terminal domain-containing protein [Anaerolinea sp.],1,1
934,WP_097653351.1 alpha-glucosidase C-terminal domain-containing protein [Candidatus Chloroploca asiatica],1,1
935,WP_100205733.1 alpha-amylase family protein [Kocuria rhizophila],1,1
936,WP_070637248.1 MULTISPECIES: alpha-amylase family protein [Kocuria],1,1
937,WP_166164173.1 alpha-glucosidase C-terminal domain-containing protein [Pseudomaricurvus alcaniphilus],1,1
938,KPK55750.1 amylosucrase [Thiotrichales bacterium SG8_50],1,1
939,WP_075998477.1 DUF3459 domain-containing protein [Halioglobus pacificus],1,1
940,MBK8026024.1 amylosucrase [Chloroflexi bacterium],1,1
941,PJF28503.1 amylosucrase [Candidatus Thermofonsia Clade 2 bacterium],1,1
942,WP_135479663.1 alpha-glucosidase C-terminal domain-containing protein [Candidatus Chloroploca sp. M-50],1,1
943,WP_026016866.1 alpha-glucosidase C-terminal domain-containing protein [Catenovulum agarivorans],1,1
944,WP_013221708.1 alpha-glucosidase C-terminal domain-containing protein [Nitrosococcus watsonii],1,1
945,"NTW44189.1 amylosucrase, partial [Anaerolineaceae bacterium]",1,1
946,"HCN23420.1 TPA: amylosucrase, partial [Arthrobacter bacterium]",1,1
947,MBK8135707.1 amylosucrase [Chloroflexi bacterium],1,1
948,NNJ11486.1 DUF3459 domain-containing protein [Chloroflexales bacterium ZM16-3],1,1
949,WP_146373665.1 alpha-glucosidase C-terminal domain-containing protein [Symmachiella macrocystis],1,1
950,SFH82489.1 amylosucrase/maltose alpha-D-glucosyltransferase/ alpha-amylase [Planctomicrobium piriforme],1,1
951,WP_036498829.1 alpha-glucosidase C-terminal domain-containing protein [Nitrosococcus oceani],1,1
952,WP_168565823.1 alpha-glucosidase C-terminal domain-containing protein [Rhodopirellula sp. JC647],1,1
953,WP_145299096.1 alpha-glucosidase C-terminal domain-containing protein [Crateriforma conspicua],1,1
954,WP_035016377.1 alpha-glucosidase C-terminal domain-containing protein [Catenovulum agarivorans],1,1
955,WP_146390677.1 alpha-glucosidase C-terminal domain-containing protein [Rhodopirellula solitaria],1,1
956,WP_146413271.1 alpha-glucosidase C-terminal domain-containing protein [Crateriforma conspicua],1,1
957,TWT73104.1 Amylosucrase [Rhodopirellula solitaria],1,1
958,WP_006786108.1 alpha-amylase family protein [Thiorhodospira sibirica],1,1
959,TWU18113.1 Amylosucrase [Planctomycetes bacterium Poly21],1,1
960,WP_092048366.1 alpha-glucosidase C-terminal domain-containing protein [Planctomicrobium piriforme],1,1
961,QDT04287.1 Amylosucrase [Planctomycetes bacterium K22_7],1,1
962,WP_114367368.1 alpha-glucosidase C-terminal domain-containing protein [Blastopirellula cremea],1,1
963,NCC21524.1 amylosucrase [Alphaproteobacteria bacterium],1,1
964,NDJ77818.1 DUF3459 domain-containing protein [Chloroflexi bacterium],1,1
965,MBC8352125.1 alpha-glucosidase C-terminal domain-containing protein [Planctomycetes bacterium],1,1
966,WP_144974024.1 alpha-glucosidase C-terminal domain-containing protein [Bremerella volcania],1,1
967,WP_135481838.1 alpha-glucosidase C-terminal domain-containing protein [Natronospirillum operosum],1,1
968,WP_105332309.1 MULTISPECIES: alpha-glucosidase C-terminal domain-containing protein [Blastopirellula],1,1
969,WP_134357300.1 alpha-glucosidase C-terminal domain-containing protein [Nitrosococcus wardiae],1,1
970,WP_145377509.1 amylosucrase [Symmachiella dynata],1,1
971,NWG34311.1 alpha-glucosidase C-terminal domain-containing protein [Chloroflexi bacterium],1,1
972,WP_145263527.1 alpha-glucosidase C-terminal domain-containing protein [Calycomorphotria hydatis],1,1
973,QDU59378.1 Amylosucrase [Planctomycetes bacterium Pan216],1,1
974,WP_036478795.1 alpha-glucosidase C-terminal domain-containing protein [Myxosarcina sp. GI1],1,1
975,AOH44470.1 amylosucrase [Anaerolineaceae bacterium oral taxon 439],1,1
976,WP_146502077.1 alpha-glucosidase C-terminal domain-containing protein [Rubinisphaera italica],1,1
977,EFO79834.1 alpha amylase catalytic region [Oscillochloris trichoides DG6],1,1
978,MBF0225435.1 alpha-glucosidase C-terminal domain-containing protein [Desulfobacterales bacterium],1,1
979,WP_044200755.1 alpha-glucosidase C-terminal domain-containing protein [Oscillochloris trichoides],1,1
980,WP_105358701.1 MULTISPECIES: alpha-glucosidase C-terminal domain-containing protein [Blastopirellula],1,1
981,MBI4761051.1 amylosucrase [Chloroflexi bacterium],1,1
982,MBE7499510.1 cyclomaltodextrinase C-terminal domain-containing protein [Verrucomicrobiales bacterium],1,1
983,WP_085441347.1 amylosucrase [Magnetofaba australis],1,1
984,WP_068264698.1 amylosucrase [Rubripirellula obstinata],1,1
985,"NBW48343.1 amylosucrase, partial [Betaproteobacteria bacterium]",1,1
986,KAA1262556.1 Amylosucrase [Rubripirellula obstinata],1,1
987,WP_182867326.1 alpha-glucosidase C-terminal domain-containing protein [Rhodopirellula sp. JC639],1,1
988,WP_145122347.1 DUF3459 domain-containing protein [Rosistilla oblonga],1,1
989,OSM06214.1 putative alpha amylase catalytic subunit [Magnetofaba australis IT-1],1,1
990,WP_174842856.1 alpha-glucosidase C-terminal domain-containing protein [Candidatus Oscillochloris fontis],1,1
991,NND97630.1 DUF3459 domain-containing protein [Pirellulaceae bacterium],1,1
992,WP_145426408.1 alpha-glucosidase C-terminal domain-containing protein [Symmachiella dynata],1,1
993,HBN79028.1 TPA: amylosucrase [Planctomycetaceae bacterium],1,1
994,TVQ01427.1 DUF3459 domain-containing protein [Planctomycetaceae bacterium],1,1
995,MBA2113893.1 Amylosucrase [Planctomycetes bacterium FF15],1,1
996,WP_047813545.1 alpha-glucosidase C-terminal domain-containing protein [Rhodopirellula islandica],1,1
997,WP_195705595.1 alpha-glucosidase C-terminal domain-containing protein [Vibrio sp. VB16],1,1
998,WP_013626384.1 amylosucrase [Rubinisphaera brasiliensis],1,1
999,MBV10447.1 amylosucrase [Rubinisphaera sp.],1,1
1000,"TMD69034.1 amylosucrase, partial [Chloroflexi bacterium]",1,1
1001,WP_145178856.1 alpha-glucosidase C-terminal domain-containing protein [Gimesia aquarii],1,1
1002,WP_129676967.1 alpha-glucosidase C-terminal domain-containing protein [Candidatus Chloroploca sp. Khr17],1,1
1003,WP_164103001.1 alpha-glucosidase C-terminal domain-containing protein [Candidatus Laterigemmans baculatus],1,1
1004,WP_114984761.1 alpha-glucosidase C-terminal domain-containing protein [Candidatus Cyclonatronum proteinivorum],1,1
1005,WP_007646169.1 amylosucrase [Cellvibrio sp. BR],1,1
1006,KLU06539.1 Sucrose phosphorylase [Rhodopirellula islandica],1,1
1007,RRR74757.1 amylosucrase [Candidatus Viridilinea halotolerans],1,1
1008,WP_101517626.1 amylosucrase [Halioglobus lutimaris],1,1
1009,WP_145280996.1 amylosucrase [Pirellulimonas nuda],1,1
1010,WP_011330266.1 alpha-glucosidase C-terminal domain-containing protein [Nitrosococcus oceani],1,1
1011,WP_146528994.1 alpha-glucosidase C-terminal domain-containing protein [Novipirellula artificiosorum],1,1
1012,"WP_035776889.1 DUF3459 domain-containing protein, partial [Arthrobacter sp. H5]",1,1
1013,WP_146588089.1 alpha-glucosidase C-terminal domain-containing protein [Posidoniimonas polymericola],1,1
1014,"EDZ66166.1 Alpha amylase, catalytic domain subfamily, putative [Nitrosococcus oceani AFC27]",1,1
1015,KAA3662055.1 amylosucrase [Calditrichaeota bacterium],1,1
1016,QDS89449.1 Amylosucrase [Planctomycetes bacterium EC9],1,1
1017,WP_095737031.1 amylosucrase [Rhodopirellula sp. SM50],1,1
1018,WP_200267578.1 alpha-glucosidase C-terminal domain-containing protein [Luteolibacter pohnpeiensis],1,1
1019,QDV87107.1 Amylosucrase [Planctomycetes bacterium TBK1r],1,1
1020,WP_145184236.1 alpha-glucosidase C-terminal domain-containing protein [Gimesia chilikensis],1,1
1021,WP_029315404.1 cyclomaltodextrinase C-terminal domain-containing protein [Acaryochloris sp. CCMEE 5410],1,1
1022,WP_082053898.1 amylosucrase [Methyloterricola oryzae],1,1
1023,WP_134085147.1 cyclomaltodextrinase C-terminal domain-containing protein [Thiohalophilus thiocyanatoxydans],1,1
1024,"WP_008707385.1 Glycosyl hydrolase, family 13, subfamily, catalytic region domain protein [Rhodopirellula maiorica]",1,1
1025,WP_145216043.1 alpha-glucosidase C-terminal domain-containing protein [Gimesia alba],1,1
1026,PLX35505.1 amylosucrase [Rhizobiales bacterium],1,1
1027,WP_020876247.1 alpha-glucosidase C-terminal domain-containing protein [Desulfococcus multivorans],1,1
1028,MBL0381866.1 alpha-glucosidase C-terminal domain-containing protein [Desulfofustis sp. PB-SRB1],1,1
1029,"ABW28460.1 alpha amylase, catalytic region [Acaryochloris marina MBIC11017]",1,1
1030,WP_147867793.1 alpha-glucosidase C-terminal domain-containing protein [Stieleria maiorica],1,1
1031,MBM1003705.1 alpha-glucosidase C-terminal domain-containing protein [Desulfofustis sp. PB-SRB1],1,1
1032,WP_149345872.1 alpha-glucosidase C-terminal domain-containing protein [Gimesia chilikensis],1,1
1033,TWT78924.1 Amylosucrase [Planctomycetes bacterium CA13],1,1
1034,WP_013034407.1 alpha-glucosidase C-terminal domain-containing protein [Nitrosococcus halophilus],1,1
1035,WP_200346616.1 alpha-glucosidase C-terminal domain-containing protein [Halochromatium glycolicum],1,1
1036,WP_022636406.1 alpha-glucosidase C-terminal domain-containing protein [Chitinivibrio alkaliphilus],1,1
1037,WP_005469090.1 alpha-amylase family protein [Vibrio sp. 16],1,1
1038,NCP64911.1 amylosucrase [Paraglaciecola sp.],1,1
1039,WP_146600031.1 alpha-glucosidase C-terminal domain-containing protein [Novipirellula aureliae],1,1
1040,NDJ55175.1 amylosucrase [Chloroflexi bacterium],1,1
1041,CAA9568501.1 GH13_4 | GH13_16 | GH13_36 | GH13 | GH13_ 17 | GH13_31 | GH13_29 | GH13_30 | GH13_40 | GH13 _23 | GH13_18 | GH13_35 | GH13_2 | GH13_21 | GH13_20 [uncultured Thermomicrobiales bacterium],1,1
1042,WP_100799356.1 alpha-glucosidase C-terminal domain-containing protein [Vibrio sp. HA2012],1,1
1043,WP_145389943.1 amylosucrase [Stieleria neptunia],1,1
1044,NBC49592.1 amylosucrase [Gammaproteobacteria bacterium],1,1
1045,WP_155362633.1 alpha-glucosidase C-terminal domain-containing protein [Gimesia benthica],1,1
1046,WP_039624934.1 alpha-amylase family protein [Vibrio sinaloensis],1,1
1047,WP_145040368.1 alpha-glucosidase C-terminal domain-containing protein [Gimesia chilikensis],1,1
1048,WP_200282542.1 hypothetical protein [Haloferula rosea],1,1
1049,WP_040121797.1 alpha-amylase family protein [Vibrio coralliilyticus],1,1
1050,WP_165579883.1 amylosucrase [Vibrio coralliilyticus],1,1
1051,WP_145076478.1 alpha-glucosidase C-terminal domain-containing protein [Aureliella helgolandensis],1,1
1052,NJM65014.1 amylosucrase [Acaryochloris sp. RU_4_1],1,1
1053,WP_066220910.1 alpha-glucosidase C-terminal domain-containing protein [Balneola sp. EhC07],1,1
1054,WP_095570886.1 alpha-amylase family protein [Vibrio coralliilyticus],1,1
1055,WP_038187838.1 alpha-amylase family protein [Vibrio sinaloensis],1,1
1056,MBT63040.1 amylosucrase [Puniceicoccaceae bacterium],1,1
1057,WP_109645970.1 alpha-amylase family protein [Gracilimonas sp. 8A47],1,1
1058,WP_008670392.1 alpha-glucosidase C-terminal domain-containing protein [Rhodopirellula europaea],1,1
1059,WP_171351896.1 amylosucrase [Vibrio coralliilyticus],1,1
1060,WP_043010057.1 alpha-amylase family protein [Vibrio coralliilyticus],1,1
1061,WP_172856135.1 amylosucrase [Vibrio coralliilyticus],1,1
1062,"CAD78342.1 alpha-amylase, amylosucrase [Rhodopirellula baltica SH 1]",1,1
1063,WP_078045520.1 alpha-glucosidase C-terminal domain-containing protein [Cellvibrio sp. PSBB023],1,1
1064,WP_145309308.1 alpha-glucosidase C-terminal domain-containing protein [Gimesia fumaroli],1,1
1065,WP_064486492.1 alpha-amylase family protein [Vibrio coralliilyticus],1,1
1066,MBB5350123.1 amylosucrase/maltose alpha-D-glucosyltransferase/alpha-amylase [Haloferula luteola],1,1
1067,NJN37482.1 amylosucrase [Acaryochloridaceae cyanobacterium CSU_3_4],1,1
1068,WP_146562419.1 alpha-glucosidase C-terminal domain-containing protein [Posidoniimonas corsicana],1,1
1069,WP_094984173.1 amylosucrase [Cellvibrio mixtus],1,1
1070,WP_184015303.1 alpha-glucosidase C-terminal domain-containing protein [Haloferula luteola],1,1
1071,WP_151059516.1 amylosucrase [Cellvibrio sp. KY-YJ-3],1,1
1072,WP_039475308.1 alpha-amylase family protein [Vibrio sinaloensis],1,1
1073,WP_099261268.1 alpha-glucosidase C-terminal domain-containing protein [Rhodopirellula bahusiensis],1,1
1074,WP_007325774.1 alpha-glucosidase C-terminal domain-containing protein [Rhodopirellula baltica],1,1
1075,WP_172846365.1 amylosucrase [Vibrio coralliilyticus],1,1
1076,WP_172849669.1 amylosucrase [Vibrio coralliilyticus],1,1
1077,WP_146594715.1 alpha-glucosidase C-terminal domain-containing protein [Novipirellula galeiformis],1,1
1078,WP_095559664.1 alpha-amylase family protein [Vibrio coralliilyticus],1,1
1079,MAT15182.1 amylosucrase [Planctomyces sp.],1,1
1080,EHA1089932.1 amylosucrase [Vibrio parahaemolyticus],1,1
1081,WP_172853299.1 amylosucrase [Vibrio coralliilyticus],1,1
1082,TVP79138.1 amylosucrase [Puniceicoccaceae bacterium],1,1
1083,WP_145195625.1 amylosucrase [Thalassoglobus polymorphus],1,1
1084,WP_099607840.1 alpha-amylase family protein [Vibrio coralliilyticus],1,1
1085,WP_144992047.1 alpha-glucosidase C-terminal domain-containing protein [Polystyrenella longa],1,1
1086,WP_145098139.1 alpha-glucosidase C-terminal domain-containing protein [Rosistilla carotiformis],1,1
1087,WP_038135653.1 alpha-amylase family protein [Vibrio caribbeanicus],1,1
1088,WP_006961320.1 MULTISPECIES: alpha-amylase family protein [Vibrio],1,1
1089,WP_068378530.1 alpha-glucosidase C-terminal domain-containing protein [Paraglaciecola hydrolytica],1,1
1090,WP_110129609.1 alpha-glucosidase C-terminal domain-containing protein [Coraliomargarita sinensis],1,1
1091,WP_171347009.1 amylosucrase [Vibrio coralliilyticus],1,1
1092,WP_145454418.1 alpha-glucosidase C-terminal domain-containing protein [Gimesia panareensis],1,1
1093,NCC92006.1 amylosucrase [Opitutae bacterium],1,1
1094,EHA1114501.1 amylosucrase [Vibrio parahaemolyticus],1,1
1095,WP_120355184.1 alpha-amylase family protein [Alginatibacterium sediminis],1,1
1096,NIR30053.1 amylosucrase [Gammaproteobacteria bacterium],1,1
1097,WP_154898723.1 alpha-glucosidase C-terminal domain-containing protein [Gimesia maris],1,1
1098,WP_097644213.1 amylosucrase [Candidatus Viridilinea mediisalina],1,1
1099,WP_008660975.1 alpha-glucosidase C-terminal domain-containing protein [Rhodopirellula europaea],1,1
1100,GAM66741.1 sucrose phosphorylase [Vibrio sp. JCM 19236],1,1
1101,WP_145107961.1 alpha-glucosidase C-terminal domain-containing protein [Gimesia panareensis],1,1
1102,WP_039469595.1 alpha-glucosidase C-terminal domain-containing protein [Photobacterium gaetbulicola],1,1
1103,HCM27212.1 TPA: amylosucrase [Treponema sp.],1,1
1104,WP_008074164.1 alpha-amylase family protein [Vibrio sinaloensis],1,1
1105,WP_002649443.1 alpha-glucosidase C-terminal domain-containing protein [Gimesia maris],1,1
1106,WP_150093055.1 alpha-glucosidase C-terminal domain-containing protein [Thiohalocapsa marina],1,1
1107,WP_154932421.1 alpha-glucosidase C-terminal domain-containing protein [Gimesia maris],1,1
1108,WP_145224371.1 alpha-glucosidase C-terminal domain-containing protein [Gimesia algae],1,1
1109,WP_146678820.1 amylosucrase [Pirellula sp. SH-Sr6A],1,1
1110,QDT12173.1 Amylosucrase [Planctomycetes bacterium K23_9],1,1
1111,WP_171339496.1 amylosucrase [Vibrio coralliilyticus],1,1
1112,WP_038212259.1 alpha-amylase family protein [Vibrio variabilis],1,1
1113,NOY71849.1 amylosucrase [Gammaproteobacteria bacterium],1,1
1114,MAX37124.1 amylosucrase [Gimesia sp.],1,1
1115,WP_028671584.1 amylosucrase [Saccharospirillum impatiens],1,1
1116,WP_117234352.1 alpha-amylase family protein [Vibrio maerlii],1,1
1117,WP_075085824.1 amylosucrase [Mariniblastus fucicola],1,1
1118,WP_109319936.1 amylosucrase [Vibrio sp. E4404],1,1
1119,TWU47654.1 Amylosucrase [Rubripirellula tenax],1,1
1120,WP_146515266.1 alpha-glucosidase C-terminal domain-containing protein [Rubripirellula amarantea],1,1
1121,HCI82482.1 TPA: amylosucrase [Ktedonobacter sp.],1,1
1122,WP_146461614.1 alpha-glucosidase C-terminal domain-containing protein [Rubripirellula tenax],1,1
1123,TWT53693.1 Amylosucrase [Rubripirellula amarantea],1,1
1124,WP_087149687.1 amylosucrase [Mariniblastus fucicola],1,1
1125,WP_084887651.1 alpha-glucosidase C-terminal domain-containing protein [Vibrio sp. qd031],1,1
1126,WP_141152894.1 alpha-glucosidase C-terminal domain-containing protein [Alteromonas mediterranea],1,1
1127,WP_071960128.1 alpha-glucosidase C-terminal domain-containing protein [Alteromonas mediterranea],1,1
1128,NCD22669.1 amylosucrase [Spartobacteria bacterium],1,1
1129,MBI3929390.1 alpha-glucosidase C-terminal domain-containing protein [Armatimonadetes bacterium],1,1
1130,HAV12655.1 TPA: amylosucrase [Opitutae bacterium],1,1
1131,WP_141154719.1 alpha-glucosidase C-terminal domain-containing protein [Alteromonas mediterranea],1,1
1132,WP_075177307.1 alpha-glucosidase C-terminal domain-containing protein [Alteromonas sp. W12],1,1
1133,WP_201219162.1 alpha-glucosidase C-terminal domain-containing protein [Halochromatium roseum],1,1
1134,WP_071970123.1 alpha-glucosidase C-terminal domain-containing protein [Alteromonas mediterranea],1,1
1135,WP_150079462.1 alpha-glucosidase C-terminal domain-containing protein [Rhodopirellula sp. JC645],1,1
1136,NQY16828.1 alpha-glucosidase C-terminal domain-containing protein [Alteromonas sp.],1,1
1137,HCG87866.1 TPA: amylosucrase [Alteromonas macleodii],1,1
1138,WP_071952911.1 alpha-glucosidase C-terminal domain-containing protein [Alteromonas mediterranea],1,1
